Otázka,Správná odpověď
"Plynové zbraně, nejde-li o dovolené výrobní provedení, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie A-I,"
Zbraně s pevně vestavěnými tlumiči hluku výstřelu jsou podle zákona o zbraních zbraně zařazené mezi,"zbraně příslušné kategorie, přičemž tlumič je hlavní částí takové zbraně. Vždy se jedná o zbraň podléhající registraci."
Tlumiče hluku výstřelu jsou podle zákona o zbraních,"zbraně kategorie C,"
Tlumič hluku výstřelu je podle zákona o zbraních,"zařízení určené pro použití s palnou zbraní a konstruované pro celkové snížení hluku výstřelu při ostré střelbě, a to včetně snížení hluku výstřelu ve směru střelby,"
Zaměřovače zbraní konstruované na principu noktovizorů jsou,"doplňky zbraní, jejichž nabývání do vlastnictví, držení a nošení zákon o zbraních neupravuje,"
"Střelivo se střelou průbojnou, výbušnou nebo zápalnou anebo jinou střelou obsahující aktivní náplně, nejde-li o signální náboje nebo střelivo obsahující pyrotechnický výrobek podle zákona o pyrotechnice, je podle zákona o zbraních zařazeno mezi","zbraně kategorie A,"
"Samočinné zbraně, u nichž došlo k úpravě na samonabíjecí palné zbraně, jsou podle zákona o zbraních zbraněmi","kategorie A-I,"
"Samonabíjecí zbraně pro střelivo se středovým zápalem, do kterých je vložen příslušný nadlimitní zásobník, jsou podle zákona o zbraních zbraněmi","kategorie A-I,"
Střelivo pro krátké kulové zbraně se střelou šokovou nebo střelou určenou ke zvýšení ranivého účinku je podle zákona o zbraních zařazeno mezi,zbraně kategorie A-I.
"Krátké opakovací nebo samonabíjecí zbraně, nejedná-li se o zbraně kategorie A-I, jsou podle zákona o zbraních zbraně zařazené mezi",zbraně kategorie B.
Krátké jednoranové nebo víceranové zbraně pro střelivo se středovým zápalem jsou podle zákona o zbraních zbraně zařazené mezi,"zbraně kategorie B,"
"Jednoranové nebo víceranové zbraně pro střelivo s okrajovým zápalem, jejichž celková délka je menší než 280 mm, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie B,"
"Samonabíjecí zbraně, pokud mají vzhled samočinných zbraní, jsou podle zákona o zbraních zbraně zařazené mezi",zbraně kategorie B.
"Dlouhé samonabíjecí zbraně, jejichž zásobník nebo nábojová schránka a nábojová komora mohou dohromady pojmout více než tři náboje avšak méně než 10 nábojů, jsou podle zákona o zbraních zbraně zařazené mezi",zbraně kategorie B.
"Dlouhé samonabíjecí zbraně, jejichž zásobník nebo nábojová schránka a nábojová komora nemohou dohromady pojmout více než 3 náboje a u nichž je podávací ústrojí odnímatelné, anebo u nichž není zaručeno, že nemohou být přeměněny běžně dostupnými nástroji na zbraně, jejichž zásobník nebo nábojová schránka a nábojová komora mohou dohromady pojmout více než 3 náboje, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie B,"
"Dlouhé opakovací nebo samonabíjecí zbraně s hladkým vývrtem hlavně, jejichž délka hlavně je menší nebo rovná 600 mm, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie B,"
Signální zbraně pro použití signálních nábojů ráže větší než 16 mm jsou podle zákona o zbraních zbraně zařazené mezi,"zbraně kategorie B,"
"Jednoranové nebo víceranové zbraně pro střelivo s okrajovým zápalem, jejichž celková délka se rovná nebo je větší než 280 mm, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie C,"
"Dlouhé zbraně pro střelivo se zápalem typu Lefaucheux, nejde-li o zbraně vyrobené nejpozději do 31. ledna 1890, jsou podle zákona o zbraních","zbraněmi kategorie C,"
Více než dvouranové nebo opakovací zbraně zkonstruované na principu perkusních zámkových systémů jsou podle zákona o zbraních zbraně zařazené mezi,zbraně kategorie C.
"Palné zbraně určené pro náboje typu Flobert, náboje ráže 4 mm M20 nebo úsťovou kinetickou energií střely srovnatelné střelivo určené pro výcvik ve střelbě jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie C-I,"
"Zbraně zařazené do kategorie A, A-I, B nebo C, které byly znehodnoceny v souladu s přímo použitelným předpisem Evropské unie, jsou podle zákona o zbraních zbraně","kategorie C-I,"
Elektrický zneschopňující prostředek založený na principu střelné zbraně (taser) podle zákona o zbraních,"je zbraní kategorie C-I,"
Podle zákona o zbraních jsou zbraněmi kategorie C-I mimo jiné,"expanzní zbraně, které splňují požadavky na dovolené výrobní provedení stanovené prováděcím právním předpisem,"
Podle zákona o zbraních jsou zbraněmi kategorie C-I mimo jiné,jednoranové nebo dvouranové palné zbraně určené pro dělené střelivo.
Signální zbraně pro použití signálních nábojů nejvýše ráže 16 mm jsou dle zákona o zbraních zbraně zařazené mezi,"zbraně kategorie C-I,"
Zbraně kategorie C-I jsou podle zákona o zbraních,"zbraně podléhající ohlášení,"
Historické zbraně jsou podle zákona o zbraních zbraně zařazené mezi,"zbraně kategorie D,"
"Jednoranová nebo dvouranová palná zbraň, která byla zkonstruována do 31. prosince 1890 a její konstrukce je založena na principech doutnákových, kolečkových, křesadlových nebo perkusních zámkových systémů je podle zákona o zbraních zbraň zařazená mezi","zbraně kategorie D,"
"Plynové zbraně nejvýše ráže 6,35 mm jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie D,"
"Poplašná zbraň dovoleného výrobního provedení nebo flobertka s úsťovou energií střely do 7,5 J, které byly ověřeny a uvedeny na trh před rokem 2021, jsou podle zákona o zbraních zbraněmi kategorie","D,"
"Expanzní přístroje, s výjimkou přenosných upevňovacích zařízení a jiných rázových strojů určených výhradně pro průmyslové nebo technické účely, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie D,"
"Znehodnocené zbraně, na které se nevztahuje přímo použitelný předpis Evropské unie a na kterých byly postupem podle prováděcího právního předpisu provedeny takové nevratné úpravy, které znemožňují jejich použití ke střelbě, jsou podle zákona o zbraních zařazené mezi","zbraně kategorie D,"
"Zbraně, na kterých byly řezem provedeny takové úpravy, které odkrývají alespoň částečně vnitřní konstrukci zbraně, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie D,"
Neaktivní střelivo a munice jsou podle zákona o zbraních zařazené mezi,"zbraně kategorie D,"
"Podle zákona o zbraních zbraň, která se stala trvale a nevratně nepoužitelnou ke střelbě v důsledku poškození nebo degradace takového rozsahu, že uschopnění takové zbraně ke střelbě je vyloučeno, aniž by došlo k výměně hlavních částí zbraně nebo jejich výměně,","jde o neaktivní torzo zbraně,"
"Neaktivní torza zbraní, kterými se rozumí zbraně, které se staly trvale a nevratně nepoužitelnými ke střelbě v důsledku poškození nebo degradace takového rozsahu, že uschopnění takové zbraně ke střelbě je vyloučeno, aniž by došlo k výměně hlavních částí zbraně nebo jejich výměně, jsou podle zákona o zbraních zařazené mezi","zbraně kategorie D,"
Podle zákona o zbraních pro sběratelské účely může udělit výjimku pro nabytí do vlastnictví a držení zbraně kategorie A nebo A-I držiteli zbrojního průkazu skupiny A,"příslušný útvar policie,"
"Podle zákona o zbraních policie může udělit výjimku na zbraně kategorie A, pokud to neodporuje veřejnému pořádku a bezpečnosti, a","lze ji časově omezit, pokud nebyla udělena pro sběratelskou nebo muzejní činnost,"
Žádost o udělení výjimky na zbraně kategorie A se podle zákona o zbraních podává u,"příslušného útvaru policie,"
Příslušným útvarem policie zákon o zbraních rozumí,"krajské ředitelství policie příslušné podle místa pobytu fyzické osoby, nebo podle sídla právnické osoby."
"Podle zákona o zbraních platnost výjimky udělené pro zbraně kategorie A zaniká, jestliže","uplynula doba, na kterou byla udělena, nebo ten, komu byla výjimka udělena, přestal být držitelem zbrojního průkazu skupiny A anebo C nebo zbrojní licence skupiny A, F, G, H, I nebo J,"
Výjimka udělená pro zbraně kategorie A bude podle zákona o zbraních odňata,"pominul-li důvod, pro který byla udělena,"
Nabývat nadlimitní zásobníky za účelem jejich použití v samonabíjecí palné zbrani určené pro jednotné střelivo se středovým zápalem je držitel zbrojního průkazu oprávněn,"na základě výjimky pro zbraň kategorie A-I nebo na základě výjimky pro nadlimitní zásobníky,"
Výjimku pro nadlimitní zásobníky příslušný útvar policie vydá,"žadateli za obdobných podmínek jako výjimku pro zbraň kategorie A-I,"
"Nadlimitní zásobník, se kterým jeho držitel nakládá na základě výjimky pro nadlimitní zásobníky, lze v souladu se zákonem použít","v jakékoli odpovídající zbrani bez ohledu na její kategorii,"
"Výjimku na zbraň kategorie A-I vydá žadateli, který je držitelem zbrojního průkazu příslušné skupiny, ze stanovených důvodů","příslušný útvar policie,"
Podle zákona o zbraních zbraň kategorie B může držitel zbrojního průkazu nabývat do vlastnictví a držet nebo nosit jen na základě,"povolení,"
"Podle zákona o zbraních střelivo do zbraně kategorie B může nabývat do vlastnictví, držet a nosit",pouze držitel zbrojního průkazu nebo zbrojní licence v rozsahu oprávnění stanovených pro jednotlivé skupiny.
"Povolení vlastnit, držet případně rovněž nosit zbraň kategorie B vydá podle zákona o zbraních","příslušný útvar policie, pokud má k tomu žadatel řádný důvod."
Povolení vlastnit nebo držet zbraň kategorie B z důvodu provozování muzejnictví nebo sběratelské činnosti vydá podle zákona o zbraních,"příslušný útvar policie,"
"Povolení vlastnit nebo držet zbraň kategorie B z důvodu uskutečňování sportovní, lovecké, kulturní nebo jiné zájmové činnosti nebo přípravy na povolání vydá podle zákona o zbraních","příslušný útvar policie,"
Podle zákona o zbraních příslušný útvar policie vydá povolení vlastnit nebo držet zbraň kategorie B mimo jiné z důvodu provozování,koncesovaných živností v oboru zbraní a střeliva.
Povolení vlastnit nebo držet zbraň kategorie B z důvodu zajišťování ostrahy majetku a osob vydá podle zákona o zbraních,"příslušný útvar policie,"
"Povolení vlastnit nebo držet zbraň kategorie B z důvodu zabezpečování úkolů podle zvláštního právního předpisu, např. zákona o obecní policii, vydá podle zákona o zbraních","příslušný útvar policie,"
"Povolení vlastnit nebo držet zbraň kategorie B z důvodu ochrany života, zdraví nebo majetku vydá podle zákona o zbraních",příslušný útvar policie.
"Platnost povolení k nabytí vlastnictví, držení nebo nošení zbraně kategorie B zaniká podle zákona o zbraních","jestliže ten, komu bylo povolení uděleno, přestal být držitelem zbrojního průkazu nebo zbrojní licence,"
"Podle zákona o zbraních platnost povolení k nabytí vlastnictví zbraně kategorie B zaniká mimo jiné, není-li využito","do 12 měsíců ode dne jeho vydání,"
Nadlimitním zásobníkem se pro účely zákona o zbraních rozumí,"zásobník nebo sestava nábojové schránky určené pro palnou zbraň pro střelivo se středovým zápalem s kapacitou přesahující 20 nábojů v případě krátké palné zbraně nebo s kapacitou přesahující 10 nábojů v případě dlouhé palné zbraně,"
Nadlimitním zásobníkem se pro účely zákona o zbraních rozumí,zásobník nebo sestava nábojové schránky určené pro palnou zbraň pro střelivo se středovým zápalem s kapacitou přesahující 20 nábojů v případě krátké palné zbraně nebo s kapacitou přesahující 10 nábojů v případě dlouhé palné zbraně.
"Podle zákona o zbraních držitel zbrojního průkazu skupiny A, B nebo C je povinen zbraň podléhající registraci přepravovat na místo, kde je oprávněn ji nosit, použít ke střelbě nebo s ní jinak manipulovat, nenabitou a v uzavřeném obalu. Viditelně lze zbraň nebo střelivo přepravovat","v přímé časové a místní souvislosti s konáním akce nebo prováděním činnosti, jejichž součástí je střelba nebo obdobné nakládání se zbraní nebo střelivem a při nichž je držitel zbrojního průkazu oprávněn zbraň nebo střelivo nosit viditelně,"
"Podle zákona o zbraních příslušný útvar policie odejme povolení vydané pro nabytí vlastnictví, držení a nošení zbraně kategorie B pro střelivo se středovým zápalem, pokud držitel takové zbraně má",neoprávněně v držení příslušný nadlimitní zásobník.
"Předchozí souhlas jiného členského státu s vydáním zbrojního průkazu nebo prohlášení tohoto jiného členského státu o tom, že předchozí souhlas není nezbytný, s překladem do jazyka českého, vyhotoveným tlumočníkem zapsaným v seznamu znalců a tlumočníků, je podle zákona o zbraních povinen předložit žadatel o vydání zbrojního průkazu, který",má místo pobytu v jiném členském státě.
"Držitel zbrojního průkazu, který má místo pobytu v jiném členském státě, podle zákona o zbraních","je povinen předložit se žádostí o povolení pro zbraň kategorie B ve smyslu § 12 odst. 1 zákona o zbraních též předchozí souhlas tohoto členského státu s udělením povolení pro zbraň kategorie B nebo prohlášení tohoto členského státu o tom, že předchozí souhlas není nezbytný,"
"Podle zákona o zbraních držitel zbrojního průkazu, který má místo pobytu v jiném členském státě, je povinen předložit se žádostí o povolení pro zbraň kategorie B ve smyslu § 12 odst. 1 zákona o zbraních též předchozí souhlas tohoto členského státu s udělením povolení pro zbraň kategorie B nebo prohlášení tohoto členského státu o tom, že předchozí souhlas není nezbytný, a to s překladem do jazyka českého. Tento překlad může být vyhotoven pouze",tlumočníkem zapsaným v seznamu znalců a tlumočníků.
"Pomine-li řádný důvod, pro který bylo povolení vlastnit nebo držet zbraň kategorie B vydáno, příslušný útvar policie podle zákona o zbraních povolení","odejme; to neplatí, bylo-li vydáno z důvodů ochrany života, zdraví nebo majetku,"
Zbraň kategorie C nebo střelivo do této zbraně může nabývat do vlastnictví a držet podle zákona o zbraních pouze,"držitel zbrojního průkazu příslušné skupiny nebo zbrojní licence příslušné skupiny, který je povinen nabytí vlastnictví této zbraně ohlásit příslušnému útvaru policie,"
Podle zákona o zbraních zbraň kategorie C může držitel zbrojního průkazu nosit pouze,v rozsahu oprávnění stanovených pro jednotlivé skupiny zbrojních průkazů až po její registraci.
Podle zákona o zbraních zbraň kategorie C-I může nabývat do vlastnictví a držet,"fyzická osoba starší 18 let, plně svéprávná, která má místo pobytu na území České republiky nebo právnická osoba se sídlem nebo odštěpným závodem na území České republiky,"
Policie zajistí podle § 57 zákona o zbraních zbraň kategorie C-I mimo jiné pokud,"byl její držitel pravomocně uznán vinným trestným činem uvedeným v § 22 odst. 1 písm. a) nebo b) zákona o zbraních nebo se u jejího držitele prokáže změna zdravotního stavu, která může představovat v souvislosti s nakládáním se zbraní této kategorie přímé ohrožení života nebo zdraví."
Zbraň kategorie D nebo střelivo do této zbraně (nejedná-li se o plynovou zbraň kategorie D nebo paintballovou zbraň) může podle zákona o zbraních nabývat do vlastnictví a držet nebo nosit fyzická osoba starší,18 let způsobilá k právním úkonům.
"Podle zákona o zbraních přenechat plynovou zbraň kategorie D nebo paintballovou zbraň lze též osobě, která dosáhla","věku 15 let; s přenecháním takové zbraně této osobě musí udělit souhlas její zákonný zástupce, opatrovník nebo poručník,"
Podle zákona o zbraních z historické zbraně lze střílet,"jen na střelnici, s výjimkou divadelních představení, rekonstrukcí historických bitev a jiných kulturních akcí, při nichž se ze zbraní nevystřelují střely; tato zbraň musí být označena platnou zkušební značkou podle zvláštního právního předpisu,"
Držitel zbraně kategorie D je povinen podle zákona o zbraních zbraň a střelivo do ní zabezpečit proti,"zneužití, ztrátě nebo odcizení,"
Držitel zbraně kategorie D podle zákona o zbraních mimo jiné,"nesmí zbraň nosit viditelně na veřejnosti nebo na místě veřejnosti přístupném, pokud se nepodílí na akci, jejíž součástí je střelba nebo obdobné nakládání se zbraní a při které lze takový způsob nošení zbraně považovat s ohledem na místní podmínky za obvyklý a přiměřený povaze dané akce,"
Držitel zbraně kategorie D podle zákona o zbraních nesmí mimo jiné,"zbraň nosit nebo s ní na veřejnosti nebo na místě veřejnosti přístupném jakkoliv manipulovat, pokud je jeho schopnost k této činnosti snížena požitím alkoholických nápojů, návykových látek, léků nebo v důsledku nemoci,"
Držitel zbraně kategorie D podle zákona o zbraních mimo jiné,"nesmí převést vlastnictví ke zbrani kategorie D nebo střelivo do ní na osobu, která k jejich držení není oprávněna, nebo je přenechat takové osobě,"
Doba platnosti zbrojního průkazu je podle zákona o zbraních,"10 let a lze jej vydat podle posudku o zdravotní způsobilosti s dobou platnosti kratší než 10 let,"
Zbrojní průkaz vydává podle zákona o zbraních,"příslušný útvar policie na základě žádosti podané fyzickou osobou,"
K žádosti o vydání zbrojního průkazu je žadatel podle zákona o zbraních mimo jiné povinen připojit,"doklad o odborné způsobilosti,"
K žádosti o vydání zbrojního průkazu je žadatel mimo jiné povinen připojit,"fotografii žadatele, která splňuje požadavky technického provedení stanoveného prováděcím právním předpisem."
"Doklad obdobný opisu z evidence Rejstříku trestů a doklad obdobný opisu z evidence přestupků vedené Rejstříkem trestů ze státu, ve kterém se zdržoval, je podle zákona o zbraních povinen předložit žadatel o vydání zbrojního průkazu, který se","v posledních 10 letech před podáním žádosti nepřetržitě zdržoval více než 6 měsíců mimo území České republiky. Cizozemské doklady se předkládají s překladem do jazyka českého vyhotoveným tlumočníkem zapsaným v seznamu znalců a tlumočníků. Nemůže-li žadatel takové doklady předložit, protože mu je jiný stát nevydá, předloží čestné prohlášení ve smyslu § 17 odst. 3 zákona o zbraních,"
"Žadatel o vydání zbrojního průkazu, který má místo pobytu v jiném členském státě, je povinen podle zákona o zbraních předložit též","předchozí souhlas tohoto členského státu s vydáním zbrojního průkazu nebo prohlášení tohoto členského státu o tom, že předchozí souhlas není nezbytný, s překladem do jazyka českého, vyhotoveným tlumočníkem zapsaným v seznamu znalců a tlumočníků,"
"Posudek o zdravotní způsobilosti, který se přikládá dle § 21a zákona o zbraních k přihlášce ke zkoušce odborné způsobilosti žadatele o vydání zbrojního průkazu, nesmí být starší než","3 měsíce,"
"Doklad o odborné způsobilosti, který se přikládá k žádosti o vydání zbrojního průkazu, nesmí být podle zákona o zbraních starší než","1 rok,"
"Příslušný útvar policie přeruší podle zákona o zbraních řízení o vydání zbrojního průkazu v případě,","že proti žadateli bylo zahájeno trestní stíhání pro trestný čin uvedený v § 22 zákona o zbraních,"
"Příslušný útvar policie vydá podle zákona o zbraních zbrojní průkaz fyzické osobě, která","má místo pobytu na území České republiky, dosáhla předepsaného věku, je způsobilá k právním úkonům, je zdravotně způsobilá, je odborně způsobilá, je bezúhonná a spolehlivá,"
"Pokud zákon o zbraních nestanoví jinak, lze zbrojní průkaz skupiny A, D nebo E vydat jen osobě","starší 21 let,"
"Pokud zákon o zbraních nestanoví jinak, lze vydat zbrojní průkaz skupiny B nebo C jen osobě",starší 18 let.
"Zbrojní průkaz skupiny B lze podle zákona o zbraních vydat osobě, která je členem občanského sdružení zabývajícího se sportovní činností podle národních nebo mezinárodních pravidel a řádů a součástí této činnosti je střelba a která je starší","15 let,"
"Zbrojní průkaz skupiny C lze podle zákona o zbraních vydat žáku střední školy nebo středního odborného učiliště, pokud v osnovách školy nebo učiliště je zahrnuta výuka myslivosti, staršímu",16 let.
"Zbrojní průkaz skupiny D lze podle zákona o zbraních vydat žáku střední školy nebo středního odborného učiliště, pokud v osnovách školy nebo učiliště je zahrnuta výuka puškařského oboru nebo střeliva, staršímu",18 let.
Zdravotní způsobilost žadatele o vydání zbrojního průkazu nebo držitele zbrojního průkazu posuzuje podle zákona upravujícího poskytování specifických zdravotních služeb mimo jiné,"registrující poskytovatel zdravotních služeb v oboru všeobecné praktické lékařství,"
Zdravotní způsobilost žadatele o vydání zbrojního průkazu nebo držitele zbrojního průkazu posuzuje podle zákona upravujícího poskytování specifických zdravotních služeb mimo jiné,"poskytovatel pracovnělékařských služeb, jde-li o žadatele o vydání zbrojního průkazu skupiny D a držitele zbrojního průkazu skupiny D, který je zaměstnancem držitele zbrojní licence; žádá- li tento žadatel také o vydání zbrojního průkazu jiných skupin, je poskytovatel pracovnělékařských služeb oprávněn posoudit zdravotní způsobilost žadatele také v rozsahu jiných skupin zbrojního průkazu,"
Zdravotní způsobilost žadatele o vydání zbrojního průkazu posuzuje podle zákona upravujícího poskytování specifických zdravotních služeb mimo jiné,"registrující poskytovatel se specializací v oboru praktické lékařství pro děti a dorost nebo v oboru všeobecné praktické lékařství, jde-li o žadatele o vydání zbrojního průkazu skupiny B nebo C, který je mladší než 19 let,"
"Žadatel o vydání zbrojního průkazu prokazuje odbornou způsobilost zkouškou, jejíž místo a čas konání určuje podle zákona o zbraních",příslušný útvar policie.
Podle zákona o zbraních teoretická část zkoušky odborné způsobilosti žadatele o vydání zbrojního průkazu se provádí formou písemného testu a žadatel při ní osvědčuje mimo jiné znalost,zvláštních právních předpisů upravujících oprávněné použití zbraně.
Podle zákona o zbraních praktická část zkoušky odborné způsobilosti žadatele o vydání zbrojního průkazu se skládá,ze zjištění znalosti bezpečné manipulace se zbraněmi a střelivem a střelby na pevný cíl.
Ke zkoušce odborné způsobilosti se žadatel o vydání zbrojního průkazu přihlašuje podle zákona o zbraních,"na předepsaném tiskopise, jehož vzor stanoví prováděcí právní předpis, u příslušného útvaru policie,"
"Pokud žadatel o vydání zbrojního průkazu při teoretické části zkoušky odborné způsobilosti neuspěl, může se podle zákona o zbraních znovu přihlásit ke zkoušce nejdříve po uplynutí","3 měsíců ode dne neúspěšného vykonání zkoušky,"
"Podle zákona o zbraních pokud žadatel o vydání zbrojního průkazu při opakování praktické části zkoušky odborné způsobilosti neuspěl, může se znovu přihlásit ke zkoušce nejdříve po uplynutí","3 měsíců ode dne neúspěšného vykonání zkoušky,"
"Žadatel, který byl v teoretické části zkoušky hodnocen stupněm ""prospěl"" a v praktické části zkoušky stupněm ""neprospěl"" dle vyhlášky Ministerstva vnitra č. 221/2017 Sb.","může praktickou část zkoušky jednou opakovat nejdříve 15 pracovních dnů a nejpozději 2 měsíce ode dne, kdy v praktické části zkoušky byl hodnocen stupněm ""neprospěl"","
"Pokud se žadatel na opakování praktické části zkoušky nedostaví, má se dle vyhlášky Ministerstva vnitra č. 221/2017 Sb. za to,","že jeho zkouška byla celkově hodnocena stupněm ""neprospěl""."
"Podle zákona o zbraních náklady spojené s provedením zkoušky odborné způsobilosti žadatele o vydání zbrojního průkazu, včetně odměny zkušebního komisaře, hradí",žadatel; může je hradit i držitel zbrojní licence.
"Žadatel o vydání zbrojního průkazu, který není ke dni podání přihlášky ke zkoušce odborné způsobilosti žadatele o vydání zbrojního průkazu držitelem zbrojního průkazu nebo muničního průkazu, je podle zákona o zbraních povinen k přihlášce ke zkoušce odborné způsobilosti připojit","posudek o zdravotní způsobilosti,"
Doklad o odborné způsobilosti na úseku zbraní a střeliva vystavený žadateli o vydání zbrojního průkazu v jiném členském státě podle zákona o zbraních,není v zákoně o zbraních uveden jako rovnocenná náhrada za doklad o odborné způsobilosti vydávaný zkušebním komisařem dle § 21 odst. 1 zákona o zbraních.
"Za bezúhonného se podle zákona o zbraních nepovažuje mimo jiné ten, kdo byl pravomocně uznán vinným","trestným činem uvedeným v § 22 odst. 1 zákona o zbraních nebo kdo byl v cizině pravomocně uznán vinným činem, jehož znaky odpovídají znakům některého z trestných činů uvedených v § 22 odst. 1 zákona o zbraních,"
Za účelem posouzení bezúhonnosti fyzické osoby podle zákona o zbraních,"požádá příslušný útvar policie o vydání opisu z evidence Rejstříku trestů,"
"Podle zákona o zbraních při posuzování bezúhonnosti fyzické osoby, která je žadatelem o vydání zbrojního průkazu, příslušný útvar policie k zahlazení odsouzení podle zvláštního právního předpisu a k jiným případům, v nichž nastává účinek, že se na pachatele hledí, jako by nebyl odsouzen","nepřihlíží,"
"Ten, jehož trestní stíhání pro úmyslný trestný čin bylo pravomocně podmíněně zastaveno a dosud neuplynula zkušební doba, v níž má být rozhodnuto, zda se osvědčil","se nepovažuje podle zákona o zbraních za spolehlivého,"
"Ten, kdo prokazatelně nadměrně požívá alkoholické nápoje nebo prokazatelně požívá návykové látky",se nepovažuje podle zákona o zbraních za spolehlivého.
Za účelem posouzení spolehlivosti fyzické osoby podle zákona o zbraních,"je příslušný útvar policie oprávněn vyžádat si opis z evidence přestupků vedené Rejstříkem trestů,"
Podle zákona o zbraních žádost o vydání nového zbrojního průkazu předkládá držitel zbrojního průkazu příslušnému útvaru policie,"nejméně dva měsíce a nejdříve 6 měsíců před uplynutím doby platnosti dosavadního zbrojního průkazu,"
Podle zákona o zbraních k žádosti o vydání nového zbrojního průkazu držitel zbrojního průkazu doklad o odborné způsobilosti držet nebo nosit zbraň a střelivo,nepřipojuje.
"Podle zákona o zbraních vyhoví-li příslušný útvar policie žádosti o vydání nového zbrojního průkazu, vydá nový zbrojní průkaz výměnou za průkaz dosavadní s dobou platnosti","10 let navazující na dobu platnosti stávajícího platného zbrojního průkazu,"
"Doklad obdobný opisu z evidence Rejstříku trestů a doklad obdobný opisu z evidence přestupků vedené Rejstříkem trestů ze státu, ve kterém se zdržoval, je podle zákona o zbraních povinen předložit žadatel o vydání nového zbrojního průkazu, který se","v době od vydání dosavadního zbrojního průkazu nepřetržitě zdržoval více než 6 měsíců mimo území České republiky. Cizozemské doklady se předkládají s překladem do jazyka českého vyhotoveným tlumočníkem zapsaným v seznamu znalců a tlumočníků. Nemůže-li žadatel takové doklady předložit, protože mu je jiný stát nevydá, předloží čestné prohlášení ve smyslu § 24 odst. 2 zákona o zbraních,"
